analysis_id,distribution,distributed_field,analysis_name,stratum_1_name,stratum_2_name,stratum_3_name,stratum_4_name,stratum_5_name,is_default,category
823,0,,"Number of observation records, by observation_concept_id and qualifier_concept_id",observation_concept_id,qualifier_concept_id,,,,1,Observation
824,0,,Number of distinct people with co-occurring observation observation_concept_id pairs,observation_concept_id,observation_concept_id,ranking,num_people,num_cases,0,Observation
825,0,,Number of observation records by observation_source_concept_id,observation_source_concept_id,,,,,1,Observation
826,0,,Number of observation records by value_as_concept_id,value_as_concept_id,,,,,1,Observation
827,0,,Number of observation records by unit_concept_id,unit_as_concept_id,,,,,1,Observation
830,0,,Number of observation records inside a valid observation period,,,,,,0,Observation Period
831,0,,Proportion of people with at least one observation record outside a valid observation period,Proportion,Number of people with a observation record outside a valid observation period,Number of people in observation,,,0,Observation Period
832,0,,Proportion of observation records outside a valid observation period,Proportion,Number of records in observation outside a valid observation period,Number of observation records,,,0,Observation Period
891,0,,Percentage of total persons that have at least x observations,observation_concept_id,observation_person,,,,1,Observation
900,0,,"Number of persons with at least one drug era, by drug_concept_id",drug_concept_id,,,,,1,Drug Era
901,0,,"Number of drug era records, by drug_concept_id",drug_concept_id,,,,,1,Drug Era
902,0,,"Number of persons by drug era start month, by drug_concept_id",drug_concept_id,calendar month,,,,1,Drug Era
903,1,,Number of distinct drug era concepts per person,,,,,,1,Drug Era
904,0,,"Number of persons with at least one drug era, by drug_concept_id by calendar year by gender by age decile",drug_concept_id,calendar year,gender_concept_id,age decile,,1,Drug Era
906,1,,Distribution of age by drug_concept_id,drug_concept_id,gender_concept_id,,,,1,Drug Era
907,1,,"Distribution of drug era length, by drug_concept_id",drug_concept_id,,,,,1,Drug Era
908,0,,Number of drug eras without valid person,,,,,,0,Drug Era
910,0,,Number of drug_era records outside valid observation period,,,,,,0,Observation Period
911,0,,Number of drug eras with end date < start date,,,,,,0,Drug Era
920,0,,Number of drug era records by drug era start month,calendar month,,,,,1,Drug Era
930,0,,Number of drug_era records inside a valid observation period,,,,,,0,Observation Period
931,0,,Proportion of people with at least one drug_era record outside a valid observation period,Proportion,Number of people with a drug_era record outside a valid observation period,Number of people in drug_era,,,0,Observation Period
932,0,,Proportion of drug_era records outside a valid observation period,Proportion,Number of records in drug_era outside a valid observation period,Number of drug_era records,,,0,Observation Period
1000,0,,"Number of persons with at least one condition era, by condition_concept_id",condition_concept_id,,,,,1,Condition Era
1001,0,,"Number of condition era records, by condition_concept_id",condition_concept_id,,,,,1,Condition Era
1002,0,,"Number of persons by condition era start month, by condition_concept_id",condition_concept_id,calendar month,,,,1,Condition Era
1003,1,,Number of distinct condition era concepts per person,,,,,,1,Condition Era
1004,0,,"Number of persons with at least one condition era, by condition_concept_id by calendar year by gender by age decile",condition_concept_id,calendar year,gender_concept_id,age decile,,1,Condition Era
1006,1,,Distribution of age by condition_concept_id,condition_concept_id,gender_concept_id,,,,1,Condition Era
1007,1,,"Distribution of condition era length, by condition_concept_id",condition_concept_id,,,,,1,Condition Era
1008,0,,Number of condition eras without valid person,,,,,,0,Condition Era
1010,0,,Number of condition_era records outside a valid observation period,,,,,,0,Observation Period
1011,0,,Number of condition eras with end date < start date,,,,,,0,Condition Era
1020,0,,Number of condition era records by condition era start month,calendar month,,,,,1,Condition Era
1030,0,,Number of condition_era records inside a valid observation period,,,,,,0,Observation Period
1031,0,,Proportion of people with at least one condition_era record outside a valid observation period,Proportion,Number of people with a condition_era record outside a valid observation period,Number of people in condition_era,,,0,Observation Period
1032,0,,Proportion of condition_era records outside a valid observation period,Proportion,Number of records in condition_era outside a valid observation period,Number of condition_era records,,,0,Observation Period
1100,0,,Number of persons by location 3-digit zip,3-digit zip,,,,,1,Location
1101,0,,Number of persons by location state,state,,,,,1,Location
1102,0,,Number of care sites by location 3-digit zip,3-digit zip,,,,,1,Location
1103,0,,Number of care sites by location state,state,,,,,1,Location
1200,0,,Number of persons by place of service,place_of_service_concept_id,,,,,1,Care Site
1201,0,,Number of visits by place of service,place_of_service_concept_id,,,,,1,Care Site
1202,0,,Number of care sites by place of service,place_of_service_concept_id,,,,,1,Care Site
1203,0,,Number of visits by place of service discharge type,discharge_to_concept_id,,,,,1,Care Site
1300,0,,"Number of persons with at least one visit detail, by visit_detail_concept_id",visit_detail_concept_id,,,,,1,Visit Detail
1301,0,,"Number of visit detail records, by visit_detail_concept_id",visit_detail_concept_id,,,,,1,Visit Detail
1302,0,,"Number of persons by visit detail start month, by visit_detail_concept_id",visit_detail_concept_id,calendar month,,,,1,Visit Detail
1303,1,,Number of distinct visit detail concepts per person,,,,,,1,Visit Detail
1304,0,,"Number of persons with at least one visit detail, by visit_detail_concept_id by calendar year by gender by age decile",visit_detail_concept_id,calendar year,gender_concept_id,age decile,,1,Visit Detail
1306,1,,Distribution of age by visit_detail_concept_id,visit_detail_concept_id,gender_concept_id,,,,1,Visit Detail
1307,0,,Number of visit records with invalid person_id,,,,,,0,Visit Detail
1309,0,,Number of visit_detail records with invalid care_site_id,,,,,,0,Visit Detail
1310,0,,Number of visit_detail records outside a valid observation period,,,,,,0,Observation Period
1311,0,,Number of visit_detail records with end date < start date,,,,,,0,Visit Detail
1312,0,,"Number of persons with at least one visit detail, by calendar year by gender by age decile",calendar year,gender_concept_id,age decile,,,1,Visit Detail
1313,1,,Distribution of length of stay by visit_detail_concept_id,visit_detail_concept_id,,,,,1,Visit Detail
1320,0,,Number of visit detail records by visit detail start month,calendar month,,,,,1,Visit Detail
1321,0,,Number of persons by visit start year,calendar year,,,,,1,Visit Detail
1325,0,,Number of visit_detail records by visit_detail_source_concept_id,visit_detail_source_concept_id,,,,,1,Visit Detail
1326,0,,Number of records by domain by visit_detail_concept_id,visit_detail_source_concept_id,cdm_table_name,,,,1,Visit Detail
1330,0,,Number of visit_detail records inside a valid observation period,,,,,,0,Observation Period
1331,0,,Proportion of people with at least one visit_detail record outside a valid observation period,Proportion,Number of people with a visit_detail record outside a valid observation period,Number of people in visit_detail,,,0,Observation Period
1332,0,,Proportion of visit_detail records outside a valid observation period,Proportion,Number of records in visit_detail outside a valid observation period,Number of visit_detail records,,,0,Observation Period
1406,1,,Length of payer plan (days) of first payer plan period by gender,gender_concept_id,,,,,1,Payer Plan Period
1407,1,,Length of payer plan (days) of first payer plan period by age decile,age_decile,,,,,1,Payer Plan Period
1408,0,,"Number of persons by length of payer plan period, in 30d increments",payer plan period length 30d increments,,,,,1,Payer Plan Period
1409,0,,Number of persons with continuous payer plan in each year,calendar year,,,,,1,Payer Plan Period
1410,0,,Number of persons with continuous payer plan in each month,calendar month,,,,,1,Payer Plan Period
1411,0,,Number of persons by payer plan period start month,calendar month,,,,,1,Payer Plan Period
1412,0,,Number of persons by payer plan period end month,calendar month,,,,,1,Payer Plan Period
1413,0,,Number of persons by number of payer plan periods,number of payer plan periods,,,,,1,Payer Plan Period
1414,0,,Number of persons with payer plan period before year-of-birth,,,,,,0,Payer Plan Period
1415,0,,Number of persons with payer plan period end < payer plan period start,,,,,,0,Payer Plan Period
1425,0,,Number of payer_plan_period records by payer_source_concept_id,payer_source_concept_id,,,,,1,Payer Plan Period
1502,1,paid_patient_copay,"Distribution of paid_patient_copay, by drug_concept_id",drug_concept_id,,,,,0,Cost
1503,1,paid_patient_coinsurance,"Distribution of paid_patient_coinsurance, by drug_concept_id",drug_concept_id,,,,,0,Cost
1504,1,paid_patient_deductible,"Distribution of paid_patient_deductible, by drug_concept_id",drug_concept_id,,,,,0,Cost
1505,1,paid_by_payer,"Distribution of paid_by_payer, by drug_concept_id",drug_concept_id,,,,,0,Cost
1506,1,paid_by_primary,"Distribution of paid_by_primary, by drug_concept_id",drug_concept_id,,,,,0,Cost
1507,1,paid_by_patient,"Distribution of paid_by_patient, by drug_concept_id",drug_concept_id,,,,,0,Cost
1508,1,total_paid,"Distribution of total_paid, by drug_concept_id",drug_concept_id,,,,,0,Cost
1509,1,paid_ingredient_cost,"Distribution of paid_ingredient_cost, by drug_concept_id",drug_concept_id,,,,,0,Cost
1510,1,paid_dispensing_fee,"Distribution of paid_dispensing_fee, by drug_concept_id",drug_concept_id,,,,,0,Cost
1511,1,total_cost,"Distribution of total_cost, by drug_concept_id",drug_concept_id,,,,,0,Cost
1602,1,paid_patient_copay,"Distribution of paid_patient_copay, by procedure_concept_id",procedure_concept_id,,,,,0,Cost
1603,1,paid_patient_coinsurance,"Distribution of paid_patient_coinsurance, by procedure_concept_id",procedure_concept_id,,,,,0,Cost
1604,1,paid_patient_deductible,"Distribution of paid_patient_deductible, by procedure_concept_id",procedure_concept_id,,,,,0,Cost
1605,1,paid_by_payer,"Distribution of paid_by_payer, by procedure_concept_id",procedure_concept_id,,,,,0,Cost
1606,1,paid_by_primary,"Distribution of paid_by_primary, by procedure_concept_id",procedure_concept_id,,,,,0,Cost
1607,1,paid_by_patient,"Distribution of paid_by_patient, by procedure_concept_id",procedure_concept_id,,,,,0,Cost
1608,1,total_paid,"Distribution of total paid, by procedure_concept_id",procedure_concept_id,,,,,0,Cost
1610,0,,Number of records by revenue_code_concept_id,revenue_code_concept_id,,,,,0,Cost
1800,0,,"Number of persons with at least one measurement occurrence, by measurement_concept_id",measurement_concept_id,,,,,1,Measurement
1801,0,,"Number of measurement occurrence records, by measurement_concept_id",measurement_concept_id,,,,,1,Measurement
1802,0,,"Number of persons by measurement occurrence start month, by measurement_concept_id",measurement_concept_id,calendar month,,,,1,Measurement
1803,1,,Number of distinct mesurement occurrence concepts per person,,,,,,1,Measurement
1804,0,,"Number of persons with at least one mesurement  occurrence, by measurement_concept_id by calendar year by gender by age decile",measurement_concept_id,calendar year,gender_concept_id,age decile,,1,Measurement
1805,0,,"Number of measurement occurrence records, by measurement_concept_id by measurement_type_concept_id",measurement_concept_id,measurement_type_concept_id,,,,1,Measurement
1806,1,,Distribution of age by measurement_concept_id,measurement_concept_id,gender_concept_id,,,,1,Measurement
1807,0,,"Number of measurement occurrence records, by measurement_concept_id and unit_concept_id",measurement_concept_id,unit_concept_id,,,,1,Measurement
1809,0,,Number of measurement records with invalid person_id,,,,,,0,Measurement
1810,0,,Number of measurement records outside valid observation period,,,,,,0,Observation Period
1811,0,,"Number of measurement records with a valid value (with a mapped, non-null value_as_number)",,,,,,1,Measurement
1812,0,,Number of measurement records with invalid provider_id,,,,,,0,Measurement
1813,0,,Number of measurement records with invalid visit_id,,,,,,0,Measurement
1814,0,,"Number of measurement records with no value (numeric, string, or concept)",,,,,,1,Measurement
1815,1,,"Distribution of numeric values, by measurement_concept_id and unit_concept_id",,,,,,1,Measurement
1816,1,,"Distribution of low range, by measurement_concept_id and unit_concept_id",,,,,,1,Measurement
1817,1,,"Distribution of high range, by measurement_concept_id and unit_concept_id",,,,,,1,Measurement
1818,0,,"Number of measurement records below/within/above normal range, by measurement_concept_id and unit_concept_id",,,,,,1,Measurement
1819,0,,"Number of measurement records, by measurement_concept_id, with a valid value (with a mapped, non-null value_as_number)",measurement_concept_id,,,,,1,Measurement
1820,0,,Number of measurement records  by measurement start month,calendar month,,,,,1,Measurement
1821,0,,Number of measurement records with no numeric value,,,,,,1,Measurement
1822,0,,"Number of measurement records, by measurement_concept_id and value_as_concept_id",measurement_concept_id,value_as_concept_id,,,,1,Measurement
1823,0,,"Number of measurement records, by measurement_concept_id and operator_concept_id",measurement_concept_id,operator_concept_id,,,,1,Measurement
1824,0,,Number of distinct people with co-occurring measurement measurement_concept_id pairs,measurement_concept_id,measurement_concept_id,ranking,num_people,num_cases,0,Measurement
1825,0,,Number of measurement records by measurement_source_concept_id,measurement_source_concept_id,,,,,1,Measurement
1826,0,,Number of measurement records by value_as_concept_id,value_as_concept_id,,,,,1,Measurement
1827,0,,Number of measurement records by unit_concept_id,unit_as_concept_id,,,,,1,Measurement
1830,0,,Number of visit_detail records inside a valid observation period,,,,,,0,Observation Period
1831,0,,Proportion of people with at least one measurement record outside a valid observation period,Proportion,Number of people with a measurement record outside a valid observation period,Number of people in measurement,,,0,Observation Period
1832,0,,Proportion of measurement records outside a valid observation period,Proportion,Number of records in measurement outside a valid observation period,Number of measurement records,,,0,Observation Period
1833,0,,Proportion of measurement records inside a valid observation period and without a value,measurement_concept_id,Number of measurement records with no value for the given measurement_concept_id,proportion,,,0,Measurement
1891,0,,Percentage of total persons that have at least x measurements,measurement_concept_id,measurement_person,,,,1,Measurement
1900,0,,"Source values mapped to concept_id 0 by table, by column, by source_value",table_name,column_name,source_value,,,1,Completeness
2000,0,,Number of patients with at least 1 Dx and 1 Rx,,,,,,1,Completeness
2001,0,,Number of patients with at least 1 Dx and 1 Proc,,,,,,1,Completeness
2002,0,,"Number of patients with at least 1 Meas, 1 Dx and 1 Rx",,,,,,1,Completeness
2003,0,,Number of patients with at least 1 Visit,,,,,,1,Completeness
2004,0,,Number of distinct patients that overlap between specific domains,domain_bit_string,proportion_of_overlap,,,,1,Completeness
2100,0,,"Number of persons with at least one device exposure, by device_concept_id",device_concept_id,,,,,1,Completeness
2101,0,,"Number of device exposure records, by device_concept_id",device_concept_id,,,,,1,Device Exposure
2102,0,,"Number of persons by device records  start month, by device_concept_id",device_concept_id,calendar month,,,,1,Device Exposure
2104,0,,"Number of persons with at least one device exposure, by device_concept_id by calendar year by gender by age decile",device_concept_id,calendar year,gender_concept_id,age decile,,1,Device Exposure
2105,0,,"Number of device exposure records, by device_concept_id by device_type_concept_id",device_concept_id,device_type_concept_id,,,,1,Device Exposure
2106,1,,Distribution of age by device_concept_id,device_concept_id,gender_concept_id,,,,1,Device Exposure
2110,0,,Number of device_exposure records outside valid observation period,,,,,,0,Observation Period
2120,0,,Number of device_exposure records by device_exposure start month,calendar month,,,,,1,Device Exposure
2125,0,,Number of device_exposure records by device_source_concept_id,device_source_concept_id,,,,,1,Device Exposure
2130,0,,Number of device_exposure records inside a valid observation period,,,,,,0,Observation Period
2131,0,,Proportion of people with at least one device_exposure record outside a valid observation period,Proportion,Number of people with a device_exposure record outside a valid observation period,Number of people in device_exposure,,,0,Observation Period
2132,0,,Proportion of device_exposure records outside a valid observation period,Proportion,Number of records in device_exposure outside a valid observation period,Number of device_exposure records,,,0,Observation Period
2191,0,,Percentage of total persons that have at least x device exposures,device_concept_id,device_person,,,,1,Device Exposure
2200,0,,Number of persons with at least one note by  note_type_concept_id,note_type_concept_id,,,,,1,Note
2201,0,,"Number of note records, by note_type_concept_id",note_type_concept_id,,,,,1,Note
